City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
523,san rafael del yuma,18.4299,-68.6739,295.26,87,91,3.63,DO,1706673119
524,luganville,-15.5333,167.1667,302.16,76,73,1.88,VU,1706673120
525,tazacorte,28.629,-17.9293,291.57,30,0,4.47,ES,1706673120
526,lae,-6.7221,146.9847,307.52,68,76,3.97,PG,1706673120
527,santa marta de ortigueira,43.6833,-7.85,284.32,81,87,2.0,ES,1706673120
528,williams lake,52.1415,-122.1445,278.91,93,75,3.6,CA,1706673120
529,farasan,16.7022,42.1183,298.76,79,31,5.34,SA,1706673121
530,awjilah,29.1081,21.2869,280.22,81,6,4.83,LY,1706673121
531,casablanca,33.5928,-7.6192,290.0,77,80,1.28,MA,1706672950
532,isabela,6.7085,121.9711,304.18,68,95,3.24,PH,1706673121
533,isla aguada,18.7833,-91.4667,294.56,63,1,4.15,MX,1706673122
534,nadvoitsy,63.8667,34.3167,268.56,80,83,4.41,RU,1706673122
535,xining,36.6167,101.7667,271.02,36,100,0.85,CN,1706672876
536,al hazm,16.1641,44.7769,295.38,55,88,3.38,YE,1706673122
537,buala,-8.145,159.5921,301.97,77,99,4.28,SB,1706673123
538,lensk,60.7253,114.9278,247.81,88,66,3.21,RU,1706673123
539,oswego,43.4501,-76.1497,273.66,95,100,3.77,US,1706673123
540,i-n-salah,27.1935,2.4607,286.88,38,0,10.02,DZ,1706673123
541,san martin,-33.081,-68.4681,304.45,42,22,5.63,AR,1706673124
542,ciudad bolivar,8.1222,-63.5497,300.77,69,84,5.28,VE,1706673124
543,dapa,9.7594,126.0531,300.34,80,100,6.24,PH,1706673124
544,itaituba,-4.2761,-55.9836,297.45,99,100,1.04,BR,1706673124
545,arno,60.1167,18.6333,274.7,100,100,2.41,SE,1706673124
546,woodlake,37.4211,-77.6793,277.05,80,0,3.09,US,1706673125
547,talakan,50.3167,130.3667,252.02,86,99,3.12,RU,1706673125
548,tirebolu,41.0069,38.8139,277.21,61,8,2.97,TR,1706673125
549,banff,51.1762,-115.5698,282.72,56,100,2.57,CA,1706673125
550,ad dabbah,18.05,30.95,285.22,38,29,4.16,SD,1706673126
551,pariaman,-0.619,100.12,304.18,61,98,1.72,ID,1706673126
552,bodaybo,57.8506,114.1933,241.51,95,77,0.21,RU,1706673126
553,xiongzhou,25.1167,114.3,295.3,72,95,1.26,CN,1706673126
554,jalapa,19.5333,-96.9167,284.52,96,100,0.33,MX,1706673127
555,guerrero,17.6667,-100.0,293.24,45,100,1.69,MX,1706673127
556,dryden,49.7833,-92.7503,272.31,93,20,4.12,CA,1706673127
557,chegdomyn,51.1167,133.0167,250.16,85,100,1.18,RU,1706673127
558,valparaiso,-33.0393,-71.6273,292.86,75,40,2.06,CL,1706673128
